CR560Q03TT,CR560Q08TT,CR565Q02TT,CR565Q05TT,CR455Q02TT,CR544Q10TT,CR544Q13TT,CR551Q01TT,CR551Q09TT,CR551Q11TT,CR551Q05TT,CR551Q08TT
94429,26988,138082,62621,101801,92311,100442,76765,27891,278677,91717,79299
213654,103340,105282,53700,41081,190861,47469,141769,11110,132642,67419,75780
135568,136113,108708,79493,48644,100076,189223,76522,81691,67398,118602,59727
39751,25607,59220,54269,84137,97196,71145,41507,42947,155148,78188,83676
118413,117644,120357,64369,91541,107230,150495,193803,27781,186356,91700,72778
92398,64866,107479,129802,246274,118582,143352,29487,39880,78208,37278,100194
74359,81235,79683,66290,70487,83940,121592,43555,11098,154328,54204,86375
97271,50616,178767,87945,122438,119413,113923,117749,18298,137695,49945,116401
125920,54530,92555,77864,80423,111087,59526,62664,83886,47017,64092,50233
97492,49073,90493,43946,85351,98189,62364,58967,24609,60158,64951,30487
69721,30412,103940,108997,45408,56355,196366,73410,29365,34147,126104,81164
97576,41834,136932,52710,95419,124982,180110,138266,13578,80213,48839,120207
127995,58036,86897,129853,137100,237100,58294,139197,18381,184537,44958,77654
117195,81470,89177,42034,41200,113263,119745,59262,17134,101999,57604,80982
141957,16357,103290,268177,169231,138241,104260,110609,71119,173855,78038,16870
81224,41059,121865,48345,122604,64666,87387,79807,21345,104980,93799,89984
266719,24991,71405,62130,55211,357873,76124,112950,83246,75903,48068,63670
86369,59909,103677,28156,64411,172020,50245,139536,38202,61685,94903,119046
54641,88338,136546,50303,84592,249701,67027,55268,21428,60589,99678,110539
271260,37571,126213,102035,164958,245299,42478,79074,41748,87160,61503,46803
19740,49533,59851,66207,30003,91041,178919,97589,35859,109511,65489,96392
141633,95264,112908,205593,131170,88318,115490,49465,46574,126258,91289,31525
65178,70644,173434,205288,119124,55553,95468,99746,58300,156376,125716,135431
15618,63872,86506,14730,69579,171406,30576,126130,16489,69401,33261,36845
210355,33306,127730,128156,201496,228728,165204,125092,18058,37621,37421,55018
48928,80496,100899,47810,113587,73017,234538,131491,66104,185532,127975,94037
194145,124281,89993,51746,102439,211664,167419,86293,75323,78976,170152,164495
292857,47137,106565,126068,157276,3935,85495,19527,62623,59855,106850,24319
