CR560Q03S,CR560Q08S,DR565Q02C,DR565Q05C,DR455Q02C,CR544Q10S,DR544Q13C,CR551Q01S,CR551Q09S,DR551Q11C,DR551Q05C,CR551Q08S
1,1,1,1,1,0,0,1,1,1,1,0
1,1,1,0,1,1,0,0,1,1,0,0
0,0,1,1,0,0,1,1,1,1,1,1
0,1,0,0,1,0,0,0,0,1,0,0
1,1,1,1,1,1,0,0,1,1,1,1
1,1,0,1,1,1,1,1,1,0,1,1
1,0,1,1,1,0,0,0,1,0,1,1
1,1,1,1,0,1,1,1,1,1,1,0
0,1,1,0,1,0,0,0,1,1,1,1
1,1,0,1,1,1,1,1,0,0,1,1
0,0,0,1,1,0,0,1,0,0,1,0
1,0,0,1,1,1,1,1,0,1,0,0
1,1,1,0,1,1,1,0,1,1,1,1
1,1,0,1,1,1,1,0,1,1,1,1
0,1,1,1,1,1,1,1,1,1,1,1
1,1,0,0,0,1,1,0,1,1,1,1
1,1,1,1,0,0,0,0,1,1,1,0
1,0,0,1,1,0,0,0,0,1,1,1
1,1,1,1,1,1,1,0,1,0,0,1
1,1,1,0,0,1,0,0,0,0,0,1
1,0,1,0,1,1,1,0,0,1,0,0
1,1,1,1,1,1,0,1,0,0,1,1
1,1,0,1,0,0,0,1,0,1,0,1
0,1,0,1,1,1,0,0,0,0,1,1
0,1,0,0,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,1,1,1,1
1,0,0,1,1,1,1,1,1,0,1,0
1,1,0,1,1,1,0,0,0,0,0,0
1,1,1,1,0,1,1,1,1,1,1,0
1,1,1,1,1,1,0,0,0,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,0,0,1,0,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0,1,1
1,1,1,1,0,1,0,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,1,1,1,1,1,1,1,1,1
1,0,0,1,0,0,1,0,0,0,1,0
1,1,1,1,1,1,0,1,1,1,1,0
0,1,0,1,1,1,0,0,0,0,1,0
1,1,1,1,1,1,0,1,0,0,0,0
1,1,0,1,1,1,1,0,1,1,1,1
0,1,1,1,0,1,1,1,1,0,1,0
1,0,1,1,1,1,1,0,0,1,0,0
0,1,0,0,1,1,0,0,1,0,0,1
1,1,0,1,1,1,0,0,0,0,1,1
0,1,1,1,0,0,1,1,0,0,1,0
1,1,0,1,1,1,1,0,0,0,0,0
1,1,0,1,1,1,0,1,1,1,1,1
1,0,1,1,1,1,1,1,1,1,0,1
1,0,1,0,0,1,0,0,1,0,1,1
1,1,0,1,0,1,1,0,1,1,1,1
1,1,1,1,1,1,1,0,0,0,1,0
1,0,1,1,1,1,0,0,0,1,1,1
1,1,1,1,1,1,0,0,1,1,1,1
1,1,1,1,0,0,1,1,1,1,1,0
0,1,1,1,1,1,0,0,1,1,1,1
0,1,1,1,0,0,0,0,1,1,1,0
0,1,0,1,1,1,0,0,1,0,1,1
1,1,0,1,1,1,1,1,1,1,1,1
1,0,0,0,1,0,0,0,1,1,0,0
0,1,0,0,1,1,0,1,0,1,0,0
1,1,1,1,0,1,0,1,0,1,1,1
1,1,0,1,0,1,1,1,0,0,0,1
0,0,0,1,1,1,0,0,0,1,1,0
1,0,0,1,1,1,0,1,0,1,1,1
1,0,1,1,1,0,0,0,0,0,1,0
1,1,1,1,0,1,0,0,1,0,1,1
1,1,1,0,0,1,0,1,1,1,1,0
1,1,0,0,0,0,0,0,0,0,0,1
0,1,1,0,0,1,0,0,0,1,1,0
1,1,1,0,0,1,0,1,0,1,1,1
0,1,1,1,1,1,0,1,1,1,1,1
1,1,1,0,0,1,0,1,1,0,1,1
0,0,1,0,0,1,0,0,0,0,1,0
1,1,1,0,1,1,1,0,1,0,1,1
1,0,1,0,0,1,0,1,0,1,1,0
1,1,1,0,0,1,0,1,1,0,1,1
1,0,1,0,0,1,0,1,0,1,1,0
1,1,1,1,1,0,0,0,1,1,1,1
0,1,0,0,1,0,0,1,0,0,0,0
1,0,1,0,0,0,0,0,1,0,1,0
1,0,1,0,0,1,0,1,1,0,1,0
1,1,1,0,0,1,0,1,1,0,1,0
1,1,0,1,0,0,0,0,0,0,0,0
1,1,1,0,0,1,0,1,1,0,1,1
1,1,1,1,1,1,0,1,1,1,1,1
0,0,0,1,0,1,0,1,0,0,0,0
1,1,1,1,0,1,1,0,0,1,1,1
1,1,0,1,0,1,0,1,0,0,1,1
1,1,0,0,0,1,0,0,1,0,1,1
1,1,1,1,0,0,0,1,1,0,1,1
1,0,0,0,0,1,0,1,1,0,0,0
1,1,1,1,1,1,0,1,1,0,1,1
1,1,1,1,0,1,1,1,1,1,1,0
1,1,1,0,1,0,0,0,0,1,0,1
1,1,1,1,0,0,0,1,1,0,1,0
1,0,0,0,1,1,1,1,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,1,1,1,1,0,0,1,1
1,1,0,1,0,0,0,0,1,0,1,1
1,1,1,0,1,1,1,1,1,0,1,1
1,1,1,1,1,1,0,1,1,1,1,0
0,0,1,1,1,1,0,1,0,0,1,0
1,1,0,0,1,1,1,1,1,0,1,0
1,1,1,1,1,1,0,0,1,0,0,0
1,1,0,0,1,0,0,0,1,0,0,0
1,1,1,1,1,1,0,0,0,1,1,1
0,1,0,0,1,1,1,1,0,0,1,1
1,1,1,0,1,1,0,1,0,0,0,0
1,1,1,0,1,1,0,1,1,0,1,1
1,1,1,1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,0,1,0
0,0,1,1,1,1,0,0,0,1,0,0
1,0,1,1,0,0,0,0,1,0,0,1
0,1,0,0,1,0,0,1,0,1,1,0
1,1,1,0,0,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,1,0,1
1,1,1,1,1,0,0,1,0,1,1,1
0,1,0,1,1,1,1,1,0,0,1,0
1,1,1,0,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,1,1,0,1,0
1,1,1,0,1,0,1,0,0,1,0,1
0,0,0,0,1,1,0,0,1,1,1,1
1,0,1,1,0,1,0,0,0,0,1,0
1,1,1,1,0,1,0,1,0,0,0,0
1,1,1,0,1,1,1,1,1,0,1,1
1,1,1,1,0,1,0,1,1,1,1,1
1,1,1,0,0,1,0,1,0,1,1,1
0,0,0,0,0,0,0,1,1,1,0,1
1,0,1,1,0,0,0,0,0,1,1,1
1,1,1,1,1,1,1,1,1,1,1,0
0,0,0,0,0,1,0,0,1,0,0,1
1,1,1,1,1,1,1,1,1,1,1,0
1,1,0,0,1,1,0,1,1,0,0,1
1,0,1,0,0,1,1,0,0,0,1,0
1,1,0,0,1,1,1,0,1,1,1,1
1,0,0,0,0,0,0,0,1,1,1,0
1,0,1,0,1,1,1,1,1,1,1,0
1,0,1,0,1,1,1,1,1,0,1,1
0,0,0,0,1,1,0,0,0,0,1,1
1,1,0,0,1,1,0,1,0,0,1,0
0,0,1,0,1,1,0,0,0,0,1,0
0,0,1,0,0,1,0,1,1,1,1,0
0,1,0,1,0,1,0,0,1,1,0,0
1,1,0,0,1,1,0,1,0,1,1,1
0,1,0,1,0,0,0,1,0,0,0,1
0,0,0,0,0,1,0,1,1,1,1,0
1,1,0,0,1,1,1,1,0,1,0,0
0,1,0,0,1,1,1,1,0,1,1,0
0,1,0,0,0,1,0,0,0,1,0,1
1,1,1,1,0,1,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,1,1,1,1,1,1,0
0,1,1,1,0,1,0,1,0,0,0,1
0,1,1,0,0,0,1,0,0,1,1,0
1,1,0,0,0,1,1,0,0,0,0,0
0,0,1,1,0,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,1,0,1
1,1,1,0,0,1,0,1,0,1,0,1
1,1,1,1,0,0,0,0,0,0,1,0
0,1,1,1,0,1,0,1,0,1,1,1
1,1,1,1,0,1,0,1,1,1,0,0
0,1,0,0,1,1,1,1,1,1,0,1
1,1,0,0,0,1,1,1,1,1,1,0
0,0,1,1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,1,0,1,1,1,1
1,1,0,0,0,1,0,1,1,1,0,1
1,1,0,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1
0,1,0,0,0,1,0,0,1,0,0,1
0,1,1,0,1,1,1,1,0,1,1,1
0,0,0,1,0,1,0,0,1,0,0,0
1,1,0,0,0,1,0,1,1,1,0,0
0,0,0,0,0,0,0,1,0,0,1,0
0,0,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0,0,0,1,0,0,0,1
1,1,0,0,1,1,0,1,1,1,1,1
0,1,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,1,0,1,0,1,0,0
0,0,0,0,0,0,0,0,0,1,0,0
1,1,1,0,0,1,1,0,1,0,1,1
0,1,1,0,1,1,1,1,1,1,1,0
0,0,1,0,0,0,0,0,0,0,0,1
1,1,0,0,1,1,1,0,0,0,1,1
0,1,1,0,1,1,0,1,0,1,1,1
1,1,1,1,1,1,0,1,1,1,1,1
0,1,0,0,0,0,1,1,1,0,1,0
0,1,1,1,1,1,0,0,0,0,1,0
0,1,1,0,1,1,0,0,0,0,1,0
0,1,0,1,1,1,1,0,0,1,1,1
1,1,1,1,1,1,1,1,0,1,1,1
1,1,1,0,0,1,0,1,1,1,1,0
1,1,0,0,0,1,0,0,0,0,1,1
1,1,1,1,0,1,0,1,0,1,1,1
0,0,1,1,0,0,0,0,0,1,1,0
0,1,1,1,1,1,0,0,0,0,1,1
1,1,0,1,0,1,0,0,1,1,1,1
1,1,1,1,0,1,0,1,1,0,1,0
0,1,1,1,1,1,0,0,1,0,1,0
1,1,0,1,0,1,0,0,0,0,0,0
1,1,1,0,0,1,0,0,1,0,1,1
1,1,1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,1,0,1,0,0
0,1,0,0,0,1,0,1,0,0,1,1
1,0,1,1,0,0,0,0,0,0,1,0
1,1,1,1,1,1,0,1,0,0,1,1
1,1,1,1,0,1,0,1,0,1,1,0
1,1,1,1,1,1,0,1,1,1,1,1
0,1,0,1,1,1,1,0,0,1,1,0
0,1,1,1,1,0,0,0,0,1,1,0
