CR560Q03A,CR560Q08A,CR565Q02A,CR565Q05A,CR455Q02A,CR544Q10A,CR544Q13A,CR551Q01A,CR551Q09A,CR551Q11A,CR551Q05A,CR551Q08A
2,2,288,158,195,4,151,2,4,459,153,6
1,2,200,87,48,2,103,2,2,340,118,2
1,4,117,120,68,1,144,1,1,105,104,2
1,1,77,117,111,2,113,1,22,353,81,3
3,2,449,163,232,3,408,54,6,546,335,20
2,2,199,224,153,2,163,2,2,149,63,5
1,1,189,125,144,1,137,2,1,223,112,2
3,1,410,125,136,1,403,1,2,413,115,4
2,2,151,136,60,2,7,3,1,86,31,2
10,2,158,91,324,26,220,9,2,232,94,2
1,2,178,118,38,1,68,2,1,33,85,1
1,4,237,121,181,4,232,4,3,133,71,13
5,2,221,317,217,7,103,4,2,351,119,2
1,2,148,37,10,2,64,2,2,172,4,2
2,2,180,664,299,4,45,8,1,408,169,2
4,2,214,118,159,2,144,6,6,227,96,1
2,1,202,126,74,2,104,1,2,137,88,4
2,3,205,34,45,2,32,2,2,78,134,4
2,2,138,65,20,4,66,2,2,54,50,2
2,2,317,174,90,3,105,2,2,124,93,3
2,2,93,75,41,5,184,39,2,219,92,6
6,2,176,371,95,6,126,2,4,125,88,2
3,1,303,463,108,9,11,2,5,261,104,3
1,5,119,2,81,38,7,13,1,5,11,3
1,3,263,221,205,4,170,3,2,74,64,1
5,7,223,81,178,6,352,12,10,290,224,33
2,10,245,206,186,2,241,57,4,282,356,14
1,1,132,83,10,1,49,3,1,100,90,1
11,10,182,96,109,2,191,5,6,280,137,2
1,2,390,212,229,5,534,6,2,188,242,2
4,1,223,128,206,2,489,2,3,332,113,2
2,9,101,144,94,5,22,10,4,167,54,7
1,59,274,79,64,54,7,1,1,59,133,1
2,6,134,53,54,8,96,2,4,63,41,4
3,1,206,157,51,4,43,1,2,168,112,2
2,2,175,75,147,13,15,12,9,447,100,2
2,1,238,89,55,1,24,3,1,145,8,2
1,5,317,252,117,2,115,2,2,170,79,2
5,2,188,123,50,3,8,2,4,505,45,2
2,2,201,133,94,2,12,3,9,126,116,11
2,2,125,82,186,6,65,2,7,51,43,2
1,1,144,31,21,4,15,7,1,165,61,3
3,2,215,164,179,5,398,7,1,269,269,7
2,2,198,15,133,2,550,4,2,493,29,2
4,1,71,123,45,2,90,2,2,144,77,1
5,2,379,90,118,8,331,2,4,62,6,4
1,1,234,141,102,4,154,7,2,160,212,4
4,1,195,122,211,2,352,1,2,104,81,3
2,6,66,132,145,2,16,6,2,509,126,2
1,4,160,158,113,20,119,1,1,426,66,5
4,2,334,146,262,7,83,10,11,61,216,2
4,8,162,97,47,3,477,13,2,126,125,13
1,2,219,166,47,2,165,2,2,111,92,3
1,1,177,98,45,1,51,3,6,182,92,2
1,1,269,227,262,1,85,1,2,531,97,7
1,1,330,76,331,1,84,1,1,142,106,1
2,2,268,96,110,4,97,7,2,276,102,7
2,3,86,37,133,2,8,15,4,159,188,4
2,1,200,199,330,2,181,2,2,105,77,6
1,1,126,144,135,11,240,1,1,252,276,1
2,2,204,54,70,2,141,2,2,159,76,2
2,1,100,215,150,7,63,2,1,291,33,1
2,1,228,106,175,6,110,1,2,309,93,3
1,1,230,94,113,1,121,3,1,105,77,2
